color,R,G,B
Yellow,255,255,0
Red,255,0,0
Blue,0,0,255
Green,0,255,0
Orange,255,165,0
Brown,139,69,19
Black,0,0,0
White,255,255,255
Pink,255,192,203
Purple,128,0,128
Grey,128,128,128
Beige,245,245,220
Beige,131,110,89
Yellow,255,255,153
Yellow,204,204,0
Red,255,102,153
Red,204,0,0
Blue,173,214,255
Blue,0,0,128
Green,173,214,153
Green,0,85,0
Orange,255,195,0
Orange,204,106,0
Brown,165,85,42
Brown,96,35,0
Black,76,76,76
Black,51,51,51
White,255,255,255
White,255,255,255
Pink,255,224,203
Pink,204,153,102
Purple,191,153,255
Purple,96,0,128
Grey,192,192,192
Grey,96,96,96
Beige,255,255,245
Beige,196,196,176
Turquoise,178,242,255
Turquoise,0,128,0
Gold,255,255,0
Gold,204,204,0
Silver,211,211,211
Silver,153,153,153
